employee_id,full_name,age,gender,email,phone,city,country,department,job_title,employment_type,education_level,join_date,exit_date,years_of_experience,annual_salary,bonus_percentage,performance_rating,nps_score,projects_completed,training_hours,remote_work,last_promotion_year,manager_id,team_size,monthly_leaves_taken,attrition_risk,salary_currency,linkedin_profile,contract_end_date
EMP2971,Ethan Desai,44,Non-Binary,ethan.desai@gmail.com,-9774135461,Chennai,India,Product,Senior PM,,BE/BTech,24-Mar-11,,12,1543767,0.17,4,1,39,37.16,TRUE,2022,EMP2319,2,1.4,Medium,AUD,linkedin.com/in/ethandesai614,
EMP3323,Jackson Sharma,32,Non-Binary,jackson.sharma@hotmail.com,,Kolkata,India,Engineering,Senior SWE,Contract,BE/BTech,18-08-2012,,11,1169366,33.9,,7,24,1.27,TRUE,,EMP2456,11,1.9,Medium,INR,linkedin.com/in/jacksonsharma759,
EMP3456,Jackson Gupta,26,Non-Binary,  jackson.gupta@company.in  ,7388466980,Bangalore,India,Sales,Sales Rep,Intern,BE/BTech,08-13-2019,,4,644903,12.81,Excellent,7,45,157.77,TRUE,2012,EMP3678,13,2.5,High,USD,linkedin.com/in/jacksongupta595,
EMP1150,Anjali Moore,39,Male,anjali.moore@company.in,(572) 264-5069,New York,USA,Customer Support,Senior Agent,Full-Time,Master's,08-16-2013,,10,664221,33.47,Outstanding,0,30,106.62,1,2020,EMP1023,4,3.2,Medium,CAD,linkedin.com/in/anjalimoore752,
EMP3051,Meena Gupta,26,Prefer not to say,meena@gupta,(307) 223-9256,San Francisco,USA,Marketing,CMO,Contract,Associate,10-Nov-22,,1,2065678,2.69,Excellent,9,-5,194.49,FALSE,2016,EMP2540,12,4.5,Low,,linkedin.com/in/meenagupta303,
EMP1465,Liam Nair,57,Non-Binary,liam.nair@hotmail.com,-7503469097,Hyderabad,India,Product,Product Analyst,Part-Time,Master's,27-11-2018,16-12-2023,5,934084,,Below Average,8,10,127.62,TRUE,2017,EMP3294,11,2.8,High,GBP,linkedin.com/in/liamnair194,
EMP2820,Meena Jones,52,Prefer not to say,meena.jones@yahoo.com,9513785101,Sydney,Australia,Legal,Legal Counsel,Part-Time,Bachelor's,11-04-2023,,20,756510,31.02,Average,8,48,12.68,FALSE,2018,EMP2852,19,3,High,CAD,linkedin.com/in/meenajones668,
EMP1995,Anjali Pillai,26,Male,anjali.pillai@corp.com,9.17217E+11,Bangalore,India,Finance,Controller,Intern,BE/BTech,10-22-2022,,1,1647356,7.61,Below Average,0,6,145.64,no,2010,EMP2086,15,3.5,High,CAD,linkedin.com/in/anjalipillai304,29-04-2024
EMP1729,Harper Desai,52,Male,harper.desai@corp.com,-8817074225,Kolkata,India,Engineering,Software Engineer,Contract,Associate,29-01-2012,,11,910622,26.62,Below Average,10,27,184.34,FALSE,2024,EMP3578,3,2.2,Medium,USD,linkedin.com/in/harperdesai308,
EMP1473,Meena Rao,48,Male,meena.rao@@gmail.com,-5633,Ahmedabad,India,Data Science,Senior Data Scientist,Full-Time,Master's,28-09-2022,11-12-2021,1,"â‚¹1,884,878",20.85,Good,2,49,81.97,TRUE,2018,,7,,Medium,USD,linkedin.com/in/meenarao522,
EMP1124,Nisha Wilson,38,Female,nisha.wilson@hotmail.com,(754) 273-1979,San Francisco,USA,Finance,Finance Manager,Part-Time,PhD,22-May-21,,2,1305011,34.55,Outstanding,0,1,173.51,0,,EMP1882,19,1,High,INR,,
EMP3858,Logan Wilson,56,Non-Binary,logan.wilson@gmail.com,,Chennai,India,Finance,Senior Analyst,Contract,Associate,08-04-2010,,13,1024832,28.36,Good,5,3,57.37,FALSE,2014,,3,2.7,HIGH,USD,linkedin.com/in/loganwilson399,25-02-2026
EMP1957,Vikram Brown,42,Male,vikram.brown@outlook.com,9.19607E+11,Bangalore,India,Product,CPO,Part-Time,High School,07-01-2018,,5,2445979,23.51,Below Average,4,5,26.73,TRUE,2020,EMP2843,1,4.6,Medium,CAD,linkedin.com/in/vikrambrown691,
EMP2381,Deepak Chatterjee,-5,Male,deepak.chatterjee@corp.com,,Delhi,India,Operations,COO,Contract,BE/BTech,20-Nov-16,,7,1476240,33.1,Average,9,29,93.87,FALSE,2012,,20,4.5,Medium,GBP,linkedin.com/in/deepakchatterjee402,
EMP3082,Pooja Davis,47,Prefer not to say,pooja.davis@company.in,-9214,Chennai,India,HR,HR Business Partner,Intern,MCA,27-09-2016,10-11-2023,7,1164553,10.02,5,3,16,177.62,TRUE,2022,EMP1523,6,4.5,High,CAD,linkedin.com/in/poojadavis210,
EMP2493,Abigail Williams,56,Male,abigail.williams@corp.com,9327139154,Delhi,India,Sales,Account Executive,Intern,Master's,08-07-2015,,8,1201134,35.71,Average,6,0,72.8,FALSE,2013,,3,3.6,High,CAD,linkedin.com/in/abigailwilliams414,
EMP1380,Aarav Williams,27,Female,aarav.williams@hotmail.com,7028448463,Dubai,UAE,Legal,CLO,Intern,High School,11-28-2015,,8,2230320,33.4,Outstanding,10,47,147.09,TRUE,2024,EMP2629,19,2.6,High,,linkedin.com/in/aaravwilliams882,
EMP2065,Mia Malhotra,51,Female,mia@malhotra,7158929928,San Francisco,USA,Finance,CFO,Contract,MCA,30-09-2022,,1,2525394,4.97,Average,3,36,123.11,TRUE,2014,EMP3027,6,3.1,low,USD,linkedin.com/in/miamalhotra882,
EMP2115,James Jones,28,Non-Binary,james.jones@hotmail.com,(598) 322-1863,Sydney,Australia,Marketing,Marketing Manager,Intern,MBA,02-09-2017,14-07-2024,6,813127,4.86,Average,6,6,198.29,TRUE,2020,EMP3849,12,2.9,High,INR,linkedin.com/in/jamesjones768,
EMP3831,Jackson Jones,39,,jackson@jones,9.18781E+11,Toronto,Canada,Data Science,Data Scientist,Contract,Bachelor's,09-09-2023,,0,1371574,6.65,Below Average,6,22,68.12,0,2021,EMP3598,16,2.2,Medium,AUD,linkedin.com/in/jacksonjones321,
EMP1941,Sunita Bose,44,Prefer not to say,  sunita.bose@hotmail.com  ,9309135789,Delhi,India,Finance,Finance Manager,Full-Time,BE/BTech,11-11-2021,,2,1154509,37.54,Below Average,10,44,113.93,FALSE,2011,EMP2571,9,3.8,HIGH,AUD,linkedin.com/in/sunitabose536,
EMP2729,Jackson Brown,60,Non-Binary,jackson.brown@yahoo.com,(457) 899-5679,San Francisco,USA,Marketing,SEO Specialist,Intern,PhD,27-04-2018,,5,1302821,39.99,Average,1,37,57.36,TRUE,2011,EMP1274,6,4.6,low,,linkedin.com/in/jacksonbrown479,07-10-2024
EMP2481,Liam Bose,38,Non-Binary,liam.bose@outlook.com,(202) 497-9431,Dubai,UAE,Operations,Logistics Coordinator,Intern,Master's,04-Jul-18,,5,1073599,34.57,Below Average,0,-7,74.46,FALSE,2020,EMP2000,,4.6,High,USD,linkedin.com/in/liambose151,
EMP2158,Kavya Iyer,56,Non-Binary,kavya.iyer@gmail.com,9.19839E+11,Pune,India,HR,Recruiter,Part-Time,Bachelor's,22-Oct-15,23-10-2023,8,750912,0.73,Excellent,4,4,127.51,TRUE,2011,EMP1032,6,3.3,Low,CAD,linkedin.com/in/kavyaiyer909,
EMP1441,Priya Mehta,37,Male,priya.mehta@hotmail.com,-8705,Bangalore,India,Customer Support,VP Support,Full-Time,MCA,06-29-2017,,6,,34.15,Outstanding,10,33,176.52,Yes,2016,EMP2772,6,3.8,low,CAD,,
EMP1120,Aarav Moore,25,Female,aarav.moore@@corp.com,9.17529E+11,Bangalore,India,Legal,Legal Counsel,Intern,Bachelor's,06-09-2014,,9,794328,35.29,Below Average,10,18,119.21,TRUE,2016,EMP3961,7,2.5,Medium,GBP,linkedin.com/in/aaravmoore95,
EMP2030,Rahul Chopra,37,Prefer not to say,rahul.chopra@hotmail.com,8048887551,Toronto,Canada,Data Science,Senior Data Scientist,Full-Time,MBA,01-Mar-14,03-06-2021,9,1861523,11.2,Below Average,5,32,81.87,1,2019,EMP3769,20,2,Low,GBP,linkedin.com/in/rahulchopra168,
EMP3955,Noah Chopra,30,male,noah.chopra@corp.com,-8219460789,Sydney,Australia,Legal,Associate,,High School,02-06-2022,,1,1102056,35.24,Below Average,8,28,177.53,TRUE,2021,EMP3069,2,1.3,Low,,linkedin.com/in/noahchopra128,
EMP2463,Anjali Williams,31,Male,anjali.williams@yahoo.com,,Toronto,Canada,Product,Senior PM,Part-Time,Associate,08-05-2018,,5,1309237,38.16,Average,3,36,114.77,yes,2017,EMP3813,3,0.6,High,USD,,31-07-2026
EMP2517,Divya Garcia,44,Female,divya.garcia@hotmail.com,9098765696,Hyderabad,India,Finance,Financial Analyst,Part-Time,  ,12-30-2012,10-02-2023,11,698207,32.33,Good,0,31,174.57,FALSE,2010,EMP2583,17,2,Low,CAD,linkedin.com/in/divyagarcia374,
EMP2590,,45,Male,pooja.bose@yahoo.com,9.19361E+11,Mumbai,India,Data Science,Data Analyst,Intern,MBA,14-04-2014,,9,1081719,12.55,Below Average,6,17,97.78,FALSE,2021,EMP2669,,0.6,Low,INR,linkedin.com/in/poojabose237,
EMP1695,Divya Wilson,55,,divya.wilson@company.in,-9859,Ahmedabad,India,Legal,CLO,Full-Time,PhD,03-06-2011,,12,1988874,22.84,Below Average,5,49,145.06,TRUE,2015,EMP2982,13,2.4,High,USD,linkedin.com/in/divyawilson889,
EMP1988,Sunita Gupta,37,Male,sunita.gupta@yahoo.com,-8874,Dubai,UAE,Data Science,Head of Data,Full-Time,BE/BTech,07-09-2019,,4,2280620,26.96,Outstanding,6,9,165.64,FALSE,2018,EMP2720,,3.4,Low,USD,linkedin.com/in/sunitagupta205,
EMP1307,Neha Nair,47,Female,neha.nair@outlook.com,,Bangalore,India,Data Science,Data Scientist,Full-Time,MCA,27-09-2022,15-11-2021,1,1369416,24.38,Excellent,10,17,133.21,TRUE,,EMP2812,5,4.6,Low,AUD,,
EMP3719,,365,Male,sunita.singh@company.in,(595) 175-9554,Pune,India,Product,Product Manager,Contract,Bachelor's,23-06-2013,,10,1090155,38.92,Average,8,3,98.3,FALSE,2014,EMP2871,1,3.8,Low,CAD,linkedin.com/in/sunitasingh326,14-02-2024
EMP3878,Charlotte Chatterjee,39,,charlotte.chatterjee@hotmail.com,-4212,Singapore,Singapore,Finance,Senior Analyst,Intern,Bachelor's,03-31-2017,,6,1084480,37.52,Average,5,5,102.23,FALSE,2015,EMP2943,14,0,High,AUD,linkedin.com/in/charlottechatterjee327,
EMP2502,Vikram Johnson,34,Male,vikram.johnson@outlook.com,,Hyderabad,India,Engg,Operations Analyst,Part-Time,PhD,02-24-2022,03-11-2022,1,622346,9.98,Good,6,29,93.99,FALSE,2015,EMP3979,20,2.2,low,AUD,linkedin.com/in/vikramjohnson11,
EMP2673,Isabella Gupta,39,Male,isabella.gupta@gmail.com,-8612001082,Delhi,India,Engineering,Engineering Manager,Part-Time,MCA,16-09-2015,,8,1975941,0.26,Below Average,1,2,77.95,TRUE,2013,EMP1749,6,4.2,Medium,INR,linkedin.com/in/isabellagupta582,
EMP1558,Pooja Rao,48,Non-Binary,pooja@rao,-9235,Bangalore,India,Legal,Legal Manager,Contract,BE/BTech,13-05-2011,,12,1580841,6.64,Excellent,6,16,12.15,TRUE,2020,EMP2981,4,2.8,Low,GBP,linkedin.com/in/poojarao558,
EMP1623,VIKRAM CHATTERJEE,28,Prefer not to say,vikram.chatterjee@yahoo.com,7768471444,Bangalore,India,Data Science,Data Analyst,Full-Time,MBA,03-11-2018,,5,876604,34.34,Average,10,40,161.4,TRUE,2023,EMP1623,19,3.8,Low,AUD,linkedin.com/in/vikramchatterjee38,
EMP2095,Sophia Verma,40,Female,sophia.verma@corp.com,-7679121774,Bangalore,India,Product,Product Manager,Contract,PhD,01-21-2023,14-08-2022,0,975627,3.29,Good,1,9,13.29,Yes,2022,EMP3659,17,4.3,Medium,AUD,,06-11-2025
EMP3006,Rahul Williams,42,Prefer not to say,rahul.williams@outlook.com,-7799712731,San Francisco,USA,Engineering,Lead Engineer,Intern,MCA,10-07-2013,,10,-1249126,12.08,Good,0,14,142.85,FALSE,2016,EMP3358,18,0.1,High,AUD,linkedin.com/in/rahulwilliams886,
EMP3165,Lucas Rao,40,Non-Binary,lucas.rao@company.in,,San Francisco,USA,Operations,Logistics Coordinator,Full-Time,PhD,12-27-2011,,12,0,16.58,Good,3,17,173.83,TRUE,2011,EMP2263,4,2.6,Medium,AUD,linkedin.com/in/lucasrao223,
EMP1522,Neha Pillai,51,Non-Binary,neha.pillai@outlook.com,-7635183154,Delhi,India,Customer Support,Team Lead,Full-Time,High School,05-12-2015,,8,702989,15.52,Average,2,16,19.48,TRUE,2012,EMP2803,3,1.2,Medium,AUD,linkedin.com/in/nehapillai316,11-05-2025
EMP1257,Kavya Johnson,35,Female,kavya.johnson@hotmail.com,,Ahmedabad,India,Marketing,SEO Specialist,Full-Time,Bachelor's,29-Nov-18,,15,1399503,32.06,Excellent,5,18,124.5,FALSE,,EMP2350,18,0.8,High,USD,linkedin.com/in/kavyajohnson570,
EMP3932,Rahul Joshi,51,Prefer not to say,rahul.joshi@yahoo.com,9.19423E+11,New York,USA,Customer Support,Team Lead,Full-Time,Bachelor's,25-05-2011,,12,619810,0.84,Average,8,11,105.8,FALSE,,EMP2483,7,3.6,High,CAD,linkedin.com/in/rahuljoshi187,16-04-2026
EMP3666,Logan Williams,48,Male,logan.williams@yahoo.com,(638) 607-9890,New York,USA,Finance,Finance Manager,Intern,Associate,20-May-22,27-11-2024,1,1460447,39.96,Outstanding,5,9,110.08,FALSE,2010,,14,1.8,Medium,GBP,linkedin.com/in/loganwilliams756,
EMP1877,Priya Chopra,55,Non-Binary,priya.chopra@company.in,7031557592,Mumbai,India,Sales,Sales Manager,Intern,High School,27-08-2013,,10,1017850,16.95,Excellent,2,0,121.67,FALSE,2014,EMP3668,5,1.2,med,GBP,linkedin.com/in/priyachopra739,15-10-2026
EMP1275,sunita davis,60,Female,sunita.davis@outlook.com,,San Francisco,USA,Sales,VP Sales,Full-Time,PhD,29-Jan-10,,30,2197645,20.26,Outstanding,7,31,16.93,FALSE,2023,EMP1492,12,4.3,High,CAD,linkedin.com/in/sunitadavis749,
EMP2378,Charlotte Verma,59,Female,charlotte.verma@outlook.com,-9681811781,Toronto,Canada,Customer Support,Team Lead,Intern,Bachelor's,26-11-2012,27-12-2020,11,788536,19.24,Below Average,9,10,112.33,TRUE,2022,EMP3538,2,0,HIGH,INR,linkedin.com/in/charlotteverma251,25-09-2026
EMP3760,Meena Iyer,25,Non-Binary,meena.iyer@hotmail.com,-5057,Sydney,Australia,Data Science,Head of Data,Full-Time,Master's,28-07-2013,,10,2906993,5.38,Below Average,3,4,127.25,FALSE,,EMP1799,17,0.3,Medium,INR,linkedin.com/in/meenaiyer440,
EMP3771,William Singh,28,Non-Binary,william.singh@hotmail.com,(576) 773-1906,Chennai,India,HR,HR Business Partner,Intern,  ,08-12-2010,01-12-2024,11,1211648,38.75,Below Average,0,26,27.53,no,2010,EMP3476,14,4.5,low,CAD,linkedin.com/in/williamsingh810,
EMP2104,,30,Prefer not to say,william.joshi@yahoo.com,(293) 930-2394,Ahmedabad,India,Sales,Sales Rep,Contract,High School,16-01-2023,,0,619850,23.72,Below Average,7,15,26.51,FALSE,,EMP2157,12,2.4,High,USD,linkedin.com/in/williamjoshi656,
EMP2943,Emma Nair,28,Female,emma.nair@company.in,,Sydney,Australia,Operations,Supply Chain Analyst,Full-Time,MCA,30-Jul-15,15-07-2020,8,,27.46,Good,0,45,133.04,FALSE,2014,,2,2,Medium,GBP,linkedin.com/in/emmanair853,
EMP2545,Neha Malhotra,53,Male,  neha.malhotra@hotmail.com  ,9.17818E+11,Pune,India,Finance,Senior Analyst,Contract,Associate,30-01-2014,,9,1134745,0.56,Below Average,2,38,17.81,TRUE,2012,,8,4.5,High,INR,,24-10-2025
EMP3757,Kavya Jones,37,Male,kavya.jones@yahoo.com,(347) 804-2268,Hyderabad,India,Legal,Legal Counsel,Intern,PhD,02-04-2013,,10,816332,38.56,Average,9,21,139.93,TRUE,2019,EMP2323,15,1.9,High,CAD,linkedin.com/in/kavyajones844,
EMP3159,PRIYA KUMAR,60,Prefer not to say,priya.kumar@company.in,-5065,Bangalore,India,Finace,HR Business Partner,Part-Time,Bachelor's,15-07-2020,,22,1106525,13.64,Average,3,49,195.67,FALSE,2010,EMP1193,16,,Medium,,linkedin.com/in/priyakumar667,
EMP3044,,58,Non-Binary,rajesh.mehta@gmail.com,,Chennai,India,Customer Support,Team Lead,Part-Time,Associate,22-06-2017,,6,791740,21.88,Average,5,-10,147.07,TRUE,2017,EMP2993,8,2.6,High,AUD,linkedin.com/in/rajeshmehta617,
EMP2610,NISHA MILLER,40,,nisha.miller@outlook.com,(836) 367-3619,San Francisco,USA,Product,Product Analyst,Full-Time,BE/BTech,01-May-12,,11,870953,11.52,,8,26,58.22,FALSE,2022,EMP3446,9,1.2,High,GBP,linkedin.com/in/nishamiller375,
EMP2703,Mia Garcia,51,,mia.garcia@company.in,(545) 773-3591,London,UK,Product,Product Analyst,Intern,MBA,13-05-2011,,12,881441,22.34,Average,3,46,77.07,TRUE,2023,EMP3593,11,2.8,High,GBP,linkedin.com/in/miagarcia464,
EMP2209,Nisha Moore,51,Non-Binary,nisha.moore@yahoo.com,8535597814,Bangalore,India,Operations,Ops Manager,Part-Time,High School,04-10-2020,,3,867218,5.5,Good,9,36,88.72,FALSE,2010,EMP2722,15,2.5,Low,USD,linkedin.com/in/nishamoore82,28-06-2024
EMP1889,Amelia Nair,27,Female,amelia.nair@yahoo.com,-9272052953,New York,USA,HR,HR Business Partner,Contract,Master's,08-01-2019,,4,1229984,13.89,1,70,-7,190.59,FALSE,2016,EMP3806,1,4.5,High,AUD,linkedin.com/in/amelianair864,
EMP1808,Kiran Iyer,41,Male,kiran.iyer@gmail.com,9.17095E+11,New York,USA,Legal,CLO,Contract,High School,02-28-2011,,14,2243116,29.3,Below Average,4,30,150.12,TRUE,2010,EMP3955,2,3.3,Low,INR,linkedin.com/in/kiraniyer117,
EMP3797,Rohan Davis,60,Prefer not to say,rohan.davis@hotmail.com,,Kolkata,India,Data Science,Head of Data,Intern,PhD,02-11-2015,,8,2597533,8.59,Excellent,7,39,143.49,FALSE,2013,EMP1088,1,3.5,High,AUD,linkedin.com/in/rohandavis744,
EMP3052,Rahul Bose,53,Female,rahul.bose@@yahoo.com,,Dubai,UAE,Engineering,Senior SWE,Intern,MCA,11-Feb-18,,5,1217887,9.43,Good,2,38,144.41,FALSE,2024,EMP1329,3,1.9,High,GBP,linkedin.com/in/rahulbose57,
EMP1429,LUCAS NAIR,36,Non-Binary,lucas.nair@@company.in,(772) 905-5036,Hyderabad,India,Product,Product Analyst,,High School,12-Feb-23,,0,868261,199.29,Good,2,7,189.27,,2021,EMP3227,8,2.2,High,USD,linkedin.com/in/lucasnair376,
EMP2303,James Reddy,42,Male,james.reddy@yahoo.com,,Pune,India,HR,HR Executive,Intern,MCA,16-12-2010,,13,609138,26.06,Average,4,13,15.27,TRUE,2023,EMP1950,10,3.1,High,CAD,linkedin.com/in/jamesreddy589,
EMP1514,Rohan Singh,37,Female,rohan.singh@yahoo.com,9.17353E+11,New York,USA,Finance,Finance Manager,Intern,  ,03-07-2017,,6,1114658,5.78,Good,5,36,35.67,FALSE,2019,EMP1070,4,4.4,Medium,INR,linkedin.com/in/rohansingh380,12-06-2024
EMP3974,James Davis,29,Female,james.davis@corp.com,-9871256278,Kolkata,India,Customer Support,Senior Agent,Contract,BE/BTech,11-06-2023,14-09-2021,0,546559,37.95,Excellent,3,7,199.88,TRUE,2023,EMP3156,1,1.3,Medium,CAD,,
EMP1515,Jackson Sharma,3,Female,jackson.sharma@hotmail.com,(807) 211-8405,Mumbai,India,Slaes,Senior Sales Rep,Full-Time,High School,25-06-2017,,6,891420,14.33,Good,29,34,34.9,TRUE,2010,EMP2645,4,4.5,Low,USD,,
EMP1817,Sunita Singh,60,Non-Binary,sunita.singh@outlook.com,-3897,Delhi,India,Sales,VP Sales,Full-Time,MBA,16-03-2013,,10,1945898,38.52,Below Average,4,43,80.23,TRUE,2016,EMP1063,8,3.6,Medium,USD,linkedin.com/in/sunitasingh16,
EMP3452,Sunita Sharma,,Prefer not to say,sunita.sharma@gmail.com,-3214,Sydney,Australia,HR,Recruiter,Part-Time,MBA,09-Feb-21,,2,961869,36.92,Below Average,,5,98.42,FALSE,2013,EMP2643,18,2.3,Low,INR,linkedin.com/in/sunitasharma1,
EMP3633,Abigail Chopra,293,Male,abigail.chopra@outlook.com,,New York,USA,Engineering,Lead Engineer,Part-Time,Associate,20-11-2020,,3,1599000,24.89,Below Average,0,5,114.22,TRUE,2014,EMP1380,12,,Medium,CAD,linkedin.com/in/abigailchopra551,
EMP3134,Arjun Gupta,27,Prefer not to say,arjun@gupta,(514) 382-6095,Hyderabad,India,Finance,Controller,Full-Time,MCA,Not Available,25-03-2024,12,1651405,9.77,Below Average,,16,134.88,TRUE,2018,EMP1926,12,1.6,High,GBP,linkedin.com/in/arjungupta682,
EMP3348,Charlotte Verma,46,Non-Binary,  charlotte.verma@hotmail.com  ,8581093901,Kolkata,India,Finance,CFO,Part-Time,MBA,08-30-2014,,9,2545984,4.4,Good,10,32,97.71,TRUE,2015,EMP3773,1,2.8,Medium,INR,linkedin.com/in/charlotteverma347,
EMP2146,Emma Rao,33,Non-Binary,emma.rao@hotmail.com,(697) 349-3201,San Francisco,USA,Data Science,Data Scientist,Full-Time,Master's,21-02-2019,09-08-2020,4,1233874,39.61,Outstanding,7,46,42.7,TRUE,2010,EMP2448,6,,High,USD,linkedin.com/in/emmarao117,
EMP3808,Mia Williams,51,Male,mia.williams@hotmail.com,7805868306,San Francisco,USA,Operations,Supply Chain Analyst,,Master's,04-25-2014,,9,930313,11.98,3,6,35,17.41,FALSE,2021,EMP1429,8,1.7,High,CAD,linkedin.com/in/miawilliams161,
EMP1493,Nisha Wilson,33,Male,nisha.wilson@corp.com,,Delhi,India,HR,HR Business Partner,Part-Time,Bachelor's,05-02-2011,,12,1102758,30.47,Outstanding,2,4,68.82,TRUE,2012,EMP1106,11,4,High,USD,linkedin.com/in/nishawilson301,
EMP2708,Liam Williams,60,Female,liam.williams@yahoo.com,-6559,Hyderabad,India,Customer Support,Support Manager,Intern,Associate,Not Available,05-08-2021,6,967030,7.55,,0,16,15.25,FALSE,2022,EMP1250,12,0.4,Low,CAD,,02-02-2024
EMP1641,Charlotte Moore,27,Female,charlotte.moore@corp.com,,Bangalore,India,Operations,Logistics Coordinator,Intern,Associate,03-02-2014,,9,1085007,,Excellent,9,38,37.35,FALSE,2015,EMP2382,4,0.9,Low,USD,linkedin.com/in/charlottemoore387,
EMP1563,Evelyn Garcia,36,Female,evelyn.garcia@gmail.com,-4332,Ahmedabad,India,Product,Group PM,Intern,MBA,02-06-2023,10-06-2022,26,1583794,18.96,Good,9,13,127.91,TRUE,2010,EMP3808,20,1.5,Medium,INR,,
EMP1788,Arjun Moore,34,Female,arjun.moore@corp.com,,Pune,India,Operations,Supply Chain Analyst,Contract,Associate,19-Aug-10,,13,861678,13.55,Excellent,7,12,49.98,,2018,EMP1467,15,1.6,Low,GBP,linkedin.com/in/arjunmoore476,
EMP3670,Anjali Verma,54,Male,anjali.verma@company.in,9.18942E+11,Toronto,Canada,Product,Group PM,,Bachelor's,11-12-2021,,2,1490186,36.74,Average,58,28,58.62,No,2020,EMP1756,9,1.9,Low,AUD,linkedin.com/in/anjaliverma150,
EMP2300,Logan Davis,33,Prefer not to say,logan.davis@yahoo.com,,London,UK,Marketing,Content Strategist,Contract,Bachelor's,14-09-2017,,6,-952394,1.73,Excellent,3,30,159.26,TRUE,2014,EMP3803,14,,Low,INR,linkedin.com/in/logandavis890,07-10-2024
EMP3053,Noah Miller,49,Female,noah.miller@company.in,-10130,Dubai,UAE,Sales,Sales Manager,Full-Time,BE/BTech,08-10-2017,,6,1020926,7.47,Good,69,29,162.73,TRUE,2021,EMP2578,9,4.3,Medium,GBP,,
EMP3945,Amit Shah,47,Female,amit.shah@@gmail.com,9.17995E+11,London,UK,Data Science,Head of Data,Part-Time,PhD,05-25-2013,,10,2569614,5.18,Excellent,10,38,115.21,FALSE,2016,EMP1253,4,,Medium,AUD,linkedin.com/in/amitshah31,
EMP1162,Nisha Moore,41,Non-Binary,nisha.moore@corp.com,-6034,Sydney,Australia,Product,Senior PM,Intern,Bachelor's,09-04-2019,,4,1537221,0.42,Below Average,7,12,64.39,FALSE,,EMP2882,3,4.1,Medium,GBP,,25-09-2026
EMP2035,Lucas Chatterjee,52,Male,lucas.chatterjee@corp.com,,London,UK,Data Science,Head of Data,Contract,Master's,21-04-2016,,7,2368862,8.2,Average,2,0,97.66,FALSE,2018,EMP1240,9,,High,USD,linkedin.com/in/lucaschatterjee655,26-03-2026
EMP2043,Logan Patel,22,Female,logan.patel@corp.com,7620002357,New York,USA,Sales,VP Sales,Full-Time,Associate,04-30-2012,,11,"â‚¹1,680,297",9.03,Average,5,42,43.81,TRUE,,EMP1760,3,2.3,Medium,INR,linkedin.com/in/loganpatel308,
EMP3383,Rajesh Reddy,60,Non-Binary,rajesh.reddy@outlook.com,9409249589,Bangalore,India,Legal,CLO,Full-Time,MBA,29-03-2023,,0,2086884,8.21,Outstanding,7,45,182.58,TRUE,2020,EMP1604,19,1.7,Low,CAD,linkedin.com/in/rajeshreddy435,06-04-2024
EMP2461,Amit Mehta,34,Non-Binary,amit.mehta@hotmail.com,9130902356,Sydney,Australia,Product,Senior PM,Contract,PhD,04-17-2015,24-07-2020,8,1422320,27.66,Below Average,3,-10,5.87,FALSE,2013,EMP2331,10,1.6,High,AUD,linkedin.com/in/amitmehta730,
EMP2661,Sneha Kumar,29,Prefer not to say,sneha.kumar@corp.com,-8910,Mumbai,India,Engg,Senior SWE,Full-Time,BE/BTech,10-27-2023,,0,1007115,5.47,Average,10,18,34.5,TRUE,2018,EMP3976,15,3,Low,INR,linkedin.com/in/snehakumar201,
EMP3793,Rajesh Shah,44,Prefer not to say,rajesh.shah@outlook.com,9.18131E+11,New York,USA,Legal,Legal Counsel,Contract,Master's,02-02-2022,,1,859499,33.53,Excellent,5,23,95.03,FALSE,2013,EMP3649,8,,High,GBP,linkedin.com/in/rajeshshah214,
EMP3631,Noah Jones,41,Female,noah.jones@gmail.com,(375) 774-6531,Kolkata,India,Product,CPO,Full-Time,High School,23-11-2022,11-10-2021,1,2445984,33.84,Good,0,19,64.53,FALSE,2016,EMP1124,18,4.8,High,CAD,,19-06-2026
EMP2710,Divya Garcia,41,Prefer not to say,divya.garcia@corp.com,-4598,Kolkata,India,Sales,Sales Rep,Full-Time,Master's,Not Available,,8,-597051,30.99,Average,3,9,,TRUE,2021,EMP2256,6,3.1,High,USD,linkedin.com/in/divyagarcia517,
EMP1445,Anjali Gupta,,Female,anjali.gupta@corp.com,(323) 976-4495,Bangalore,India,Legal,Legal Counsel,Full-Time,High School,09-29-2015,,8,853404,13.72,Below Average,,35,134.31,FALSE,2012,EMP2755,11,0.2,Medium,INR,linkedin.com/in/anjaligupta741,25-06-2026
EMP1148,Charlotte Johnson,45,Female,charlotte.johnson@yahoo.com,-3067,Dubai,UAE,Legal,Legal Manager,Part-Time,Associate,20-Apr-23,,0,1382449,27.46,Good,10,46,144.33,TRUE,2011,EMP3551,17,3.4,Low,USD,linkedin.com/in/charlottejohnson552,
EMP2363,Emma Patel,49,Non-Binary,emma.patel@corp.com,9944852558,Bangalore,India,Operations,COO,Intern,Bachelor's,24-02-2019,,4,1773104,16.01,Good,3,16,,TRUE,2017,,11,0.9,med,GBP,linkedin.com/in/emmapatel34,
